	SRR403882_first	SRR403883_first	SRR403886_first	SRR403887_first	SRR403888_first	SRR403889_first	SRR403892_first	SRR403893_first
ENSG00000116254.17	9	0	11	0	28	1	32	4
ENSG00000116251.9	2700	365	2511	360	2902	1212	2935	463
ENSG00000226944.1	1	0	12	0	0	6	4	4
ENSG00000158286.12	253	10	168	14	196	11	223	29
ENSG00000116237.15	5506	194	4487	430	7040	762	5965	922
ENSG00000225077.2	10	1	5	2	14	9	13	10
ENSG00000173673.7	0	0	0	0	0	0	0	0
ENSG00000158292.6	1404	17	1525	70	1016	30	1572	51
ENSG00000097021.19	1442	403	1255	402	1737	1511	1949	1199
ENSG00000271746.1	2	2	6	0	4	2	1	0
ENSG00000069812.11	115	5	126	12	193	25	209	49
ENSG00000187017.15	43	3	39	2	24	6	48	5
ENSG00000265392.1	0	0	0	0	0	0	0	0
ENSG00000231868.1	0	0	0	0	0	0	0	0
ENSG00000215788.9	156	0	97	4	144	0	109	3
ENSG00000171680.21	625	43	566	76	563	128	823	140
ENSG00000162408.10	1365	253	1091	331	1451	1228	1091	1224
ENSG00000253022.1	0	0	0	0	0	0	0	0
ENSG00000229519.2	3	1	2	1	14	0	3	0
ENSG00000173662.20	1	0	2	0	1	0	1	0
ENSG00000204859.12	386	43	232	53	333	136	367	138
ENSG00000162413.16	1580	101	1410	155	1353	267	2044	474
ENSG00000116273.5	775	91	499	89	853	302	946	473
ENSG00000041988.15	269	20	249	52	276	112	285	124
ENSG00000007923.15	1752	276	1107	300	1630	1026	1245	855
ENSG00000228750.6	0	0	0	0	0	0	0	0
ENSG00000284744.1	0	0	0	0	0	0	0	0
ENSG00000237436.1	9	0	12	3	12	0	4	0
ENSG00000171735.18	276	39	252	76	292	219	224	239
ENSG00000227950.1	5	5	6	1	10	23	12	0
ENSG00000237365.1	0	0	0	0	0	0	0	0
ENSG00000207056.1	0	2	2	3	0	25	0	25
ENSG00000237402.1	0	0	0	0	0	0	0	0
ENSG00000237728.2	0	0	0	0	0	0	0	0
ENSG00000225126.1	0	0	0	0	0	0	0	0
ENSG00000270171.1	1	0	0	0	0	0	0	0
ENSG00000270035.1	0	0	0	0	1	0	0	0
ENSG00000269978.1	0	0	0	0	0	0	0	0
ENSG00000049245.12	2051	204	1904	406	2498	699	2010	681
ENSG00000269925.1	14	0	11	0	10	0	6	0
ENSG00000049246.14	228	17	155	28	270	54	153	55
ENSG00000236266.1	0	0	0	0	0	0	0	0
ENSG00000049247.13	1	0	0	0	4	6	2	0
ENSG00000049249.8	3	0	5	3	31	19	26	11
ENSG00000270330.1	0	0	1	0	0	0	0	0
ENSG00000116288.12	3202	1010	2710	1205	3795	3451	3190	3662
ENSG00000200344.1	0	0	0	0	0	0	0	0
ENSG00000284747.1	18	0	13	0	17	2	11	7
ENSG00000284716.1	0	0	0	0	0	0	1	0
ENSG00000116285.12	4826	455	4276	888	4663	1388	3560	1941
ENSG00000238290.1	11	0	6	3	1	5	5	0
ENSG00000232848.1	11	8	8	1	10	2	9	3
ENSG00000229305.1	0	0	0	0	0	0	0	0
ENSG00000227634.2	0	0	1	0	0	0	0	0
ENSG00000200975.1	4	2	8	2	5	2	9	1
ENSG00000233645.1	0	0	0	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0	0	0	0
ENSG00000162426.14	34	3	27	4	28	10	46	9
ENSG00000252254.1	0	0	0	0	0	7	0	4
ENSG00000142599.17	875	100	1245	180	737	198	1187	499
